hjd,camera,mag,mag_err,flux,flux_err
2457234.72614,bf,14.761,0.03452,4.782,0.152
2456871.79514,bf,14.629,0.03191,5.398,0.158
2457304.75806,bf,14.914,0.03804,4.154,0.145
2457970.84291,bf,14.886,0.03736,4.261,0.146
2456830.83627,bf,14.668,0.03264,5.21,0.156
2458028.85821,bf,14.682,0.03291,5.143,0.156
2457903.90862,bf,14.691,0.03309,5.1,0.155
2458036.75725,bf,14.785,0.03504,4.675,0.151
2457373.6309,bf,14.824,0.03591,4.51,0.149
2456943.64221,bf,14.857,0.03667,4.377,0.148
2457698.75744,bf,14.889,0.03743,4.25,0.146
2456841.95048,bf,14.571,0.03087,5.695,0.162
2456983.58445,bf,14.654,0.03237,5.276,0.157
2458377.56145,bf,14.714,0.03355,4.993,0.154
2457695.72811,bf,14.735,0.03398,4.898,0.153
2457334.73062,bf,14.648,0.03226,5.304,0.157
2457189.82603,bf,14.79,0.03515,4.654,0.15
2457332.74512,bf,14.768,0.03467,4.749,0.151
2457778.52409,bf,14.742,0.03412,4.864,0.153
2457205.76628,bf,14.69,0.03307,5.105,0.155
2457662.59519,bf,14.69,0.03307,5.103,0.155
2457162.88223,bf,14.659,0.03247,5.252,0.157
2456839.82634,bf,14.683,0.03293,5.136,0.156
2457390.5914,bf,14.716,0.03359,4.985,0.154
2456931.61619,bf,14.718,0.03363,4.973,0.154
2456926.68185,bf,14.862,0.03678,4.357,0.147
2457007.54967,bf,14.61,0.03156,5.492,0.159
2456850.74215,bf,14.752,0.03433,4.821,0.152
2457277.76261,bf,14.821,0.03584,4.523,0.149
2458025.54349,bf,14.658,0.03245,5.255,0.157
2457363.63186,bf,14.767,0.03465,4.754,0.152
2457724.69027,bf,14.721,0.03369,4.961,0.154
2457738.62796,bf,14.845,0.03639,4.425,0.148
2457942.81605,bf,14.71,0.03347,5.009,0.154
